,AD Ball F1,AD Ball F2,AD Bead F1 ,AD Bead F2,AD Boot F1,AD Boot F2,AD Box F1,AD Box F2,ID Ball F1,ID Ball F2,ID Bead F1,ID Bead F2,ID Boot F1,ID Boot F2,ID Box F1,ID Box F2,PD Ball F1,PD Ball F2,PD Bead F1 ,PD Bead F2,PD Boot F1,PD Boot F2,PD Box F1,PD Box F2
Mom 1,,,439.67,3049.67,433.60,2211.60,945.75,1441.25,,,381.25,3081.50,434.25,1654.25,1127.20,1944.00,,,432.00,2715.00,483.00,2020.43,879.25,1620.00
Mom 2,,,345.25,2279.25,387.50,1850.50,768.80,1253.60,,,357.83,2858.33,361.50,1031.50,992.50,1519.75,,,392.86,2902.00,380.00,1392.60,894.67,1525.33
Mom 3,,,424.14,2705.14,412.17,1569.00,937.60,1579.40,,,435.00,3104.80,414.20,1523.60,956.00,1486.67,,,389.86,2648.43,509.60,1416.40,917.71,1495.00
Mom 4,,,386.17,1743.50,386.00,1548.67,877.80,1349.20,,,333.57,3129.43,429.00,1043.50,767.00,1284.29,,,396.00,3122.00,391.43,965.86,903.83,1571.17
Mom 5,,,485.40,2473.80,496.50,1549.33,933.75,1516.63,,,376.80,2826.40,391.17,1144.50,806.00,1201.57,,,400.40,3163.00,442.75,1062.75,817.75,1441.25
Mom 6,,,453.83,2418.83,447.50,1601.00,820.67,1344.33,,,417.00,2973.67,504.71,1219.14,863.60,1587.80,,,369.20,2311.00,432.17,1259.33,667.80,1370.60
Mom 7,738.50,1056.50,364.00,2680.75,434.00,1688.86,,,836.00,1356.33,352.50,1861.50,401.44,1352.22,,,724.40,1211.60,374.50,2515.38,390.00,1288.17,,
Mom 8,663.27,1216.91,397.43,2559.43,381.71,1748.43,,,782.54,1388.69,323.21,3006.86,385.67,1379.17,,,668.82,1183.27,389.08,3133.58,463.00,1298.38,,
Mom 9,723.33,1185.78,356.00,2179.25,388.00,1606.33,,,646.55,1243.45,362.00,2203.18,412.44,1419.67,,,756.88,1362.00,340.92,2001.38,319.71,1288.29,,
Mom 10,664.17,1167.67,285.38,2052.25,341.60,1884.80,,,623.80,1217.40,360.80,2738.67,380.09,1689.73,,,825.55,1277.45,320.18,2778.55,340.50,1797.50,,
