,AD Ball F1,AD Ball F2,AD Bead F1 ,AD Bead F2,AD Boot F1,AD Boot F2,AD Box F1,AD Box F2,ID Ball F1,ID Ball F2,ID Bead F1,ID Bead F2,ID Boot F1,ID Boot F2,ID Box F1,ID Box F2,PD Ball F1,PD Ball F2,PD Bead F1 ,PD Bead F2,PD Boot F1,PD Boot F2,PD Box F1,PD Box F2
Mom 1,,,439.666666666667,3049.66666666667,433.6,2211.6,945.75,1441.25,,,381.25,3081.5,434.25,1654.25,1127.2,1944,,,432,2715,483,2020.42857142857,879.25,1620
Mom 2,,,345.25,2279.25,387.5,1850.5,768.8,1253.6,,,357.833333333333,2858.33333333333,361.5,1031.5,992.5,1519.75,,,392.857142857143,2902,380,1392.6,894.666666666667,1525.33333333333
Mom 3,,,424.142857142857,2705.14285714286,412.166666666667,1569,937.6,1579.4,,,435,3104.8,414.2,1523.6,956,1486.66666666667,,,389.857142857143,2648.42857142857,509.6,1416.4,917.714285714286,1495
Mom 4,,,386.166666666667,1743.5,386,1548.66666666667,877.8,1349.2,,,333.571428571429,3129.42857142857,429,1043.5,767,1284.28571428571,,,396,3122,391.428571428571,965.857142857143,903.833333333333,1571.16666666667
Mom 5,,,485.4,2473.8,496.5,1549.33333333333,933.75,1516.625,,,376.8,2826.4,391.166666666667,1144.5,806,1201.57142857143,,,400.4,3163,442.75,1062.75,817.75,1441.25
Mom 6,,,453.833333333333,2418.83333333333,447.5,1601,820.666666666667,1344.33333333333,,,417,2973.66666666667,504.714285714286,1219.14285714286,863.6,1587.8,,,369.2,2311,432.166666666667,1259.33333333333,667.8,1370.6
Mom 7,738.5,1056.5,364,2680.75,434,1688.85714285714,,,836,1356.33333333333,352.5,1861.5,401.444444444444,1352.22222222222,,,724.4,1211.6,374.5,2515.375,390,1288.16666666667,,
Mom 8,663.272727272727,1216.90909090909,397.428571428571,2559.42857142857,381.714285714286,1748.42857142857,,,782.538461538462,1388.69230769231,323.214285714286,3006.85714285714,385.666666666667,1379.16666666667,,,668.818181818182,1183.27272727273,389.083333333333,3133.58333333333,463,1298.375,,
Mom 9,723.333333333333,1185.77777777778,356,2179.25,388,1606.33333333333,,,646.545454545455,1243.45454545455,362,2203.18181818182,412.444444444444,1419.66666666667,,,756.875,1362,340.923076923077,2001.38461538462,319.714285714286,1288.28571428571,,
Mom 10,664.166666666667,1167.66666666667,285.375,2052.25,341.6,1884.8,,,623.8,1217.4,360.8,2738.66666666667,380.090909090909,1689.72727272727,,,825.545454545455,1277.45454545455,320.181818181818,2778.54545454545,340.5,1797.5,,
