,,,,f1,f2,duration,pitch
,,,,732,1124,0.161,165
,,,,819,1066,0.131,216
Vowel space area,,,,672,1066,0.184,257
=,,,,731,970,0.112, --undefined-- 
ABS {[F1i*(F2a,,,,,,,
−,,,,322,2891,0.184,263
F2u)+,,,,406,2152,0.274,219
F1a*(F2u,,,,398,2875,0.168,234
−,,,,330,2805,0.203,193
F2i) +,,,,,,,
F1u*(F2i,,,,362,1679,0.206,329
−,,,,436,1369,0.101,308
"F2a)]/2},",,,,460,1546,0.114,223
,,,,450,1983,0.152,250
,,,,475,2000,0.129,254
,,,,441,1656,0.127,423
,,,,414,1589,0.106,245
,,,,,,,
,,,,809,1188,0.293,157
,,,,826,1205,0.366, --undefined-- 
,,,,938,1369,0.249, --undefined-- 
,,,,735,1438,0.123,179
,,,,764,1438,0.181,150
,,,,944,1500,0.14,133
,,,,,,,
,,,,393,2163,0.139,239
,,,,354,1380,0.202,308
,,,,397,1985,0.126,221
,,,,266,1918,0.207,171
,,,,,,,
,,,,369,1164,0.162,188
,,,,395,1076,0.191,205
,,,,408,1534,0.093,205
,,,,409,1763,0.125,221
,,,,399,1490,0.158,206
,,,,416,1482,0.115,224
,,,,472,1134,0.131,231
,,,,385,1118,0.198,186
,,,,360,1409,0.115,178
,,,,,,,
,,,,765,1267,0.208,248
,,,,834,1269,0.152,163
,,,,507,1102,0.198,191
,,,,756,1132,0.176,148
,,,,760,1288,0.14,172
,,,,,,,
,,,,366,3181,0.232,167
,,,,332,3147,0.152,144
,,,,273,1862,0.215,260
,,,,357,2025,0.155,330
,,,,498,3260,0.185,215
,,,,301,1807,0.182,155
,,,,555,2924,0.212,144
,,,,314,1917,0.197,273
,,,,,,,
,,,,434,1483,0.164,286
,,,,375,813,0.114,315
,,,,388,1218,0.112,341
,,,,372,1406,0.111,267
,,,,354,1622,0.087,302
,,,,417,1187,0.176,214
,,,,,,,
,,,,812,1233,0.119,144
,,,,747,1180,0.153,173
,,,,628,1093,0.168,219
,,,,631,1012,0.212,215
,,,,666,1291,0.211,222
,,,,673,1204,0.13,221
,,,,794,1162,0.128,261
