"","V1","ADBallF1","ADBallF2","ADBeadF1","ADBeadF2","ADBootF1","ADBootF2","IDBallF1","IDBallF2","IDBeadF1","IDBeadF2","IDBootF1","IDBootF2","PDBallF1","PDBallF2","PDBeadF1","PDBeadF2","PDBootF1","PDBootF2","IDVowelSpace1","PDVowelSpace1","ADVowelSpace1","IDSDur","PDSDur","ADSDur","IDSPitch","PDSPitch","ADSPitch"
"1","Mom 1",945.75,1441.25,439.666666666667,3049.66666666667,433.6,2211.6,1127.2,1944,381.25,3081.5,434.25,1654.25,879.25,1620,432,2715,483,2020.42857142857,-502184.81875,-127401.035714286,-216944.65,0.32815,0.275619048,0.244605556,189.25,222.8730159,193.45
"2","Mom 2",768.8,1253.6,345.25,2279.25,387.5,1850.5,992.5,1519.75,357.833333333333,2858.33333333333,361.5,1031.5,894.666666666667,1525.33333333333,392.857142857143,2902,380,1392.6,-577261.041666667,-387565.647619048,-69131.675,0.21725,0.197047619,0.174309524,164,164.9285714,164.0833333
"3","Mom 3",937.6,1579.4,424.142857142857,2705.14285714286,412.166666666667,1569,956,1486.66666666667,435,3104.8,414.2,1523.6,917.714285714286,1495,389.857142857143,2648.42857142857,509.6,1416.4,-428731.186666667,-256110.124489796,-298421.388095238,0.229085714,0.202171429,0.2353,204.3714286,218.1904762,233.5047619
"4","Mom 4",877.8,1349.2,386.166666666667,1743.5,386,1548.66666666667,767,1284.28571428571,333.571428571429,3129.42857142857,429,1043.5,903.833333333333,1571.16666666667,396,3122,391.428571428571,965.857142857143,-364010.846938775,-551025.369047619,-47926.1388888889,0.46765873,0.266539683,0.220155556,289.7460317,292.2380952,183.3
"5","Mom 5",933.75,1516.625,485.4,2473.8,496.5,1549.33333333333,806,1201.57142857143,376.8,2826.4,391.166666666667,1144.5,817.75,1441.25,400.4,3163,442.75,1062.75,-349264.054761905,-401811.6125,-201929.99375,0.303825397,0.352608333,0.214288889,272.231746,276,209.1805556
"6","Mom 6",820.666666666667,1344.33333333333,453.833333333333,2418.83333333333,447.5,1601,863.6,1587.8,417,2973.66666666667,504.714285714286,1219.14285714286,667.8,1370.6,369.2,2311,432.166666666667,1259.33333333333,-331005.014285714,-127406.906666667,-153406.847222222,0.183855556,0.152044444,0.171944444,338.3412698,287.7555556,178.9444444
"7","Mom 7",738.5,1056.5,364,2680.75,434,1688.85714285714,836,1356.33333333333,352.5,1861.5,401.444444444444,1352.22222222222,724.4,1211.6,374.5,2515.375,390,1288.16666666667,-110755.351851852,-204595.841666667,-128883.1875,0.165287037,0.164461111,0.166496032,198.1296296,227.6333333,243.4007937
"8","Mom 8",663.272727272727,1216.90909090909,397.428571428571,2559.42857142857,381.714285714286,1748.42857142857,782.538461538462,1388.69230769231,323.214285714286,3006.85714285714,385.666666666667,1379.16666666667,668.818181818182,1183.27272727273,389.083333333333,3133.58333333333,463,1298.375,-323289.669871795,-184605.633049242,-118348.172541744,0.195268926,0.213765152,0.1747,275.9084249,306.8863636,212.5238095
"9","Mom 9",723.333333333333,1185.77777777778,356,2179.25,388,1606.33333333333,646.545454545455,1243.45454545455,362,2203.18181818182,412.444444444444,1419.66666666667,756.875,1362,340.923076923077,2001.38461538462,319.714285714286,1288.28571428571,-87266.3829201101,-155087.717032967,-89330.1388888889,0.181414141,0.155717033,0.145453704,249.8013468,239.8076923,206.537037
"10","Mom 10",664.166666666667,1167.66666666667,285.375,2052.25,341.6,1884.8,623.8,1217.4,360.8,2738.66666666667,380.090909090909,1689.72727272727,825.545454545455,1277.45454545455,320.181818181818,2778.54545454545,340.5,1797.5,-123262.221818182,-232642.630165289,-6846.48333333331,0.234817172,0.23670303,0.168002778,271.2545455,255.7757576,197.5138889
"11","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
